Название,Цена,Фото
Горелка Tramp  TRG-045,,https://alex.kg/wp-content/uploads/2021/06/TRG-045_1024-600x600.jpg
Баллон штоковый (цанговый)TRG-001,180 сом,https://alex.kg/wp-content/uploads/2022/06/tramp-trg-001_1024-600x600.jpg
Шнурки LACES,200 сом,https://alex.kg/wp-content/uploads/2016/04/laces_ass_1024-600x1335.jpg
Trump колпачок для скандинавской ходьбы TRA-064,300 сом,https://alex.kg/wp-content/uploads/2022/04/nasadka-kolpachok-dlya-palok-tramp-skandinavskaya-khodba-600x600.jpg
Газовый баллон 230г резьба Tramp TRG-003,420 сом,https://alex.kg/wp-content/uploads/2022/06/ballon-rezba-trg-003_1024-600x600.jpg
Носки Cool,500 сом,https://alex.kg/wp-content/uploads/2016/04/cool_heather_socks_1024-600x1073.jpg
Носки Inclined,500 сом,https://alex.kg/wp-content/uploads/2016/04/inclined_kiwi_socks_1024-600x891.jpg
Носки Tiptop,500 сом,https://alex.kg/wp-content/uploads/2016/04/tiptop_black_socks_1024-600x1265.jpg
Переходник для штоковых баллонов TRG-018,500 сом,
Сиденье туристическое WoodLand – Tramp IRA-002,500 сом,https://alex.kg/wp-content/uploads/2022/02/tramp-sidene-turisticheskoe-metallik-ira-002-1_1024-600x600.jpg
Огниво для извлечения искры Tramp  TRG-030,500 сом,https://alex.kg/wp-content/uploads/2022/04/tramp-ognivo-trg-030_1-600x600.png
Газовый картридж CV300 PLUS,550 сом,https://alex.kg/wp-content/uploads/2016/07/cv300-plus_-600x754.jpg
Газовый картридж C300 Performance,550 сом,https://alex.kg/wp-content/uploads/2016/07/c-300-perform_1_1024-600x714.jpg
Подставка под газовый балон (пластик) TRG-053,720 сом,https://alex.kg/wp-content/uploads/2022/06/pidstavka-pid-ballon-Tramp-TRG-053-01_1024-600x442.jpg
Газовый картридж C300 Xtreme,750 сом,https://alex.kg/wp-content/uploads/2016/07/c-300-xtreme_1_1024-600x789.jpg
Ковер туристический Decor металлик S10,950 сом,https://alex.kg/wp-content/uploads/2022/02/kovrik-turisticheskij-tramp-decor-metallik-IRA-005_1024-600x600.jpg
Носки Springer,980 сом,https://alex.kg/wp-content/uploads/2016/04/springer_heathermarl_socks_1024_0-600x1235.jpg
Носки STROLLER,1100 сом,https://alex.kg/wp-content/uploads/2017/08/stroller_greymarl_socks_1024-600x1436.jpg
Ковер туристический Optima Light S12 – Tramp IRA-011,1200 сом,https://alex.kg/wp-content/uploads/2022/02/kovrik-Optima-IRA-011_1024-600x693.jpg
Складной переходник со шлангом Tramp TRG-011,1450 сом,https://alex.kg/wp-content/uploads/2021/06/TRG-011_1024-600x600.jpg
Перчатки Effort TRGB-002,1550 сом,https://alex.kg/wp-content/uploads/2022/02/perchatki-neopr.jpg
Питьевая система Tramp 1 литр TRA-055,1650 сом,https://alex.kg/wp-content/uploads/2021/06/gidrator-TRA-055_1024-600x600.jpg
Горелки Tramp TRG-041,1900 сом,https://alex.kg/wp-content/uploads/2021/07/gorelka-TRG-041_1024-600x600.jpg
Питьевая система Tramp 3 литр TRA-057,2050 сом,https://alex.kg/wp-content/uploads/2021/06/gidrator-TRA-055_1024-600x600.jpg
Штаны QIKPAC,2600 сом,https://alex.kg/wp-content/uploads/2016/04/Qikpac-pant_flint_1024-600x1042.jpg
Брюки SOLIO TP 75,2300 сом,https://alex.kg/wp-content/uploads/2016/04/solio_graphite_1024_1-600x991.jpg
Горелка газовая “Campingaz Bleuet Micro Plus”,2300 сом,https://alex.kg/wp-content/uploads/2020/09/Campingaz-Bleuet-Micro-Plus_1024-600x557.jpg
Горелки Tramp TRG-042,2300 сом,https://alex.kg/wp-content/uploads/2021/06/TRG-042-1024-600x600.jpg
Палки для скандинавской ходьбы COMPACT,2400 сом,https://alex.kg/wp-content/uploads/2022/02/tramp-compact-trr-004-600x600.jpg
Брюки TARO,2500 сом,https://alex.kg/wp-content/uploads/2016/04/taro_earth_1_1024-600x1646.jpg
Горелка Tramp  TRG-043,2550 сом,https://alex.kg/wp-content/uploads/2021/06/TRG-043_1024-600x600.jpg
Гетры Mallaig,2700 сом,https://alex.kg/wp-content/uploads/2016/04/mallaig_black_1024-600x922.jpg
Гетры Nanuk,2750 сом,https://alex.kg/wp-content/uploads/2017/04/nanuk_black_2_copy_1024-600x600.jpg
Палки для треккинга Scoul TRR-009,2800 сом,https://alex.kg/wp-content/uploads/2022/06/trekkovye-palki-trr-009_1024-600x600.jpg
Горелка Tramp складная TRG-044,2950 сом,https://alex.kg/wp-content/uploads/2021/06/tramp-gorelka-turisticheskaya-skladnaya-trg-044-600x600.jpg
Палки для треккинга Trekking Trr-003,3000 сом,https://alex.kg/wp-content/uploads/2022/04/palki-trr-003_1024-600x600.jpg
Брюки AMELIA,6200 сом,https://alex.kg/wp-content/uploads/2016/04/amelia_black_1024-600x1582.jpg
Фонарь налобный CHT 7 Headlamp,3150 сом,https://alex.kg/wp-content/uploads/2016/07/cht7_1_1024-600x370.jpg
Газовая паяльная лампа Campingaz VT 1,3150 сом,https://alex.kg/wp-content/uploads/2020/09/Campingaz-VT-1-1433998385_1024-600x600.jpg
Брюки CROWLEY TP 100,3400 сом,https://alex.kg/wp-content/uploads/2016/04/crowley_1024-600x1654.jpg
Фонарь налобный CHT10 Headlamp,3500 сом,https://alex.kg/wp-content/uploads/2016/07/cht10_1_1024-600x273.jpg
Куртка-дождевик QIKPAC,4300 сом,https://alex.kg/wp-content/uploads/2016/04/qikpac_sasparilla_angle_1024-600x835.jpg
Куртка-дождевик QIKPAC,4300 сом,https://alex.kg/wp-content/uploads/2016/04/qikpac_black_angle_1024-600x807.jpg
Фонарь налобный CHT15 Headlamp,3700 сом,https://alex.kg/wp-content/uploads/2016/07/cht10_1_1024-600x273.jpg
Ковер самонадувающийся Tramp TRI-006,3850 сом,https://alex.kg/wp-content/uploads/2022/02/tri-006-1_1024-600x600.jpg
Брюки CLIFTON TP 75,4000 сом,https://alex.kg/wp-content/uploads/2016/04/clifton_khaki_1024-600x1515.jpg
Горелка Campingaz Bivouac Instastart,4150 сом,https://alex.kg/wp-content/uploads/2020/09/post-40653-1433998990_1024-600x758.jpg
Трековые палочки Eagle,4200 сом,https://alex.kg/wp-content/uploads/2022/06/leki-eagle-640-2011-800x800-1-600x600.jpg
Горелка Tramp со шлангом  TRG-046,4700 сом,https://alex.kg/wp-content/uploads/2021/06/trg-046_1024-600x600.jpg
Горелка Tramp со шлангом  TRG-047,4800 сом,https://alex.kg/wp-content/uploads/2022/06/tramp-gorelka-turisticheskaya-skladnaya-so-shlangom-trg-047_1024-600x600.jpg
Горные ботинки FLASH PLUS II GTX,8500 сом,https://alex.kg/wp-content/uploads/2016/04/FLASH-PLUS-II-GTX_85570200004_1024-600x425.jpg
Куртка TOMMS-M,5400 сом,https://alex.kg/wp-content/uploads/2021/12/Tomms-M-blu-600x765.jpg
Горелки Tramp титановая TRG-048,5500 сом,https://alex.kg/wp-content/uploads/2022/06/tramp-gorelka-turisticheskaya-skladnaya-trg-048_1024-600x600.jpg
Дождевик MISHA TP 75,5550 сом,https://alex.kg/wp-content/uploads/2016/04/misha_mallard_angle_1024-600x741.jpg
Куртка NOLAN TP 75,5550 сом,https://alex.kg/wp-content/uploads/2016/04/nolan_granite_angle_1024-600x738.jpg
Куртка Tafelberg TP 75,5550 сом,https://alex.kg/wp-content/uploads/2016/04/tafelberg_fern_1024-600x837.jpg
Горелка Tramp  TRG-045,,https://alex.kg/wp-content/uploads/2021/06/TRG-045_1024-600x600.jpg
Баллон штоковый (цанговый)TRG-001,180 сом,https://alex.kg/wp-content/uploads/2022/06/tramp-trg-001_1024-600x600.jpg
Шнурки LACES,200 сом,https://alex.kg/wp-content/uploads/2016/04/laces_ass_1024-600x1335.jpg
Trump колпачок для скандинавской ходьбы TRA-064,300 сом,https://alex.kg/wp-content/uploads/2022/04/nasadka-kolpachok-dlya-palok-tramp-skandinavskaya-khodba-600x600.jpg
Газовый баллон 230г резьба Tramp TRG-003,420 сом,https://alex.kg/wp-content/uploads/2022/06/ballon-rezba-trg-003_1024-600x600.jpg
Носки Cool,500 сом,https://alex.kg/wp-content/uploads/2016/04/cool_heather_socks_1024-600x1073.jpg
Носки Inclined,500 сом,https://alex.kg/wp-content/uploads/2016/04/inclined_kiwi_socks_1024-600x891.jpg
Носки Tiptop,500 сом,https://alex.kg/wp-content/uploads/2016/04/tiptop_black_socks_1024-600x1265.jpg
Переходник для штоковых баллонов TRG-018,500 сом,
Сиденье туристическое WoodLand – Tramp IRA-002,500 сом,https://alex.kg/wp-content/uploads/2022/02/tramp-sidene-turisticheskoe-metallik-ira-002-1_1024-600x600.jpg
Огниво для извлечения искры Tramp  TRG-030,500 сом,https://alex.kg/wp-content/uploads/2022/04/tramp-ognivo-trg-030_1-600x600.png
Газовый картридж CV300 PLUS,550 сом,https://alex.kg/wp-content/uploads/2016/07/cv300-plus_-600x754.jpg
Газовый картридж C300 Performance,550 сом,https://alex.kg/wp-content/uploads/2016/07/c-300-perform_1_1024-600x714.jpg
Подставка под газовый балон (пластик) TRG-053,720 сом,https://alex.kg/wp-content/uploads/2022/06/pidstavka-pid-ballon-Tramp-TRG-053-01_1024-600x442.jpg
Газовый картридж C300 Xtreme,750 сом,https://alex.kg/wp-content/uploads/2016/07/c-300-xtreme_1_1024-600x789.jpg
Ковер туристический Decor металлик S10,950 сом,https://alex.kg/wp-content/uploads/2022/02/kovrik-turisticheskij-tramp-decor-metallik-IRA-005_1024-600x600.jpg
Носки Springer,980 сом,https://alex.kg/wp-content/uploads/2016/04/springer_heathermarl_socks_1024_0-600x1235.jpg
Носки STROLLER,1100 сом,https://alex.kg/wp-content/uploads/2017/08/stroller_greymarl_socks_1024-600x1436.jpg
Ковер туристический Optima Light S12 – Tramp IRA-011,1200 сом,https://alex.kg/wp-content/uploads/2022/02/kovrik-Optima-IRA-011_1024-600x693.jpg
Складной переходник со шлангом Tramp TRG-011,1450 сом,https://alex.kg/wp-content/uploads/2021/06/TRG-011_1024-600x600.jpg
Перчатки Effort TRGB-002,1550 сом,https://alex.kg/wp-content/uploads/2022/02/perchatki-neopr.jpg
Питьевая система Tramp 1 литр TRA-055,1650 сом,https://alex.kg/wp-content/uploads/2021/06/gidrator-TRA-055_1024-600x600.jpg
Горелки Tramp TRG-041,1900 сом,https://alex.kg/wp-content/uploads/2021/07/gorelka-TRG-041_1024-600x600.jpg
Питьевая система Tramp 3 литр TRA-057,2050 сом,https://alex.kg/wp-content/uploads/2021/06/gidrator-TRA-055_1024-600x600.jpg
Штаны QIKPAC,2600 сом,https://alex.kg/wp-content/uploads/2016/04/Qikpac-pant_flint_1024-600x1042.jpg
Брюки SOLIO TP 75,2300 сом,https://alex.kg/wp-content/uploads/2016/04/solio_graphite_1024_1-600x991.jpg
Горелка газовая “Campingaz Bleuet Micro Plus”,2300 сом,https://alex.kg/wp-content/uploads/2020/09/Campingaz-Bleuet-Micro-Plus_1024-600x557.jpg
Горелки Tramp TRG-042,2300 сом,https://alex.kg/wp-content/uploads/2021/06/TRG-042-1024-600x600.jpg
Палки для скандинавской ходьбы COMPACT,2400 сом,https://alex.kg/wp-content/uploads/2022/02/tramp-compact-trr-004-600x600.jpg
Брюки TARO,2500 сом,https://alex.kg/wp-content/uploads/2016/04/taro_earth_1_1024-600x1646.jpg
Горелка Tramp  TRG-043,2550 сом,https://alex.kg/wp-content/uploads/2021/06/TRG-043_1024-600x600.jpg
Гетры Mallaig,2700 сом,https://alex.kg/wp-content/uploads/2016/04/mallaig_black_1024-600x922.jpg
Гетры Nanuk,2750 сом,https://alex.kg/wp-content/uploads/2017/04/nanuk_black_2_copy_1024-600x600.jpg
Палки для треккинга Scoul TRR-009,2800 сом,https://alex.kg/wp-content/uploads/2022/06/trekkovye-palki-trr-009_1024-600x600.jpg
Горелка Tramp складная TRG-044,2950 сом,https://alex.kg/wp-content/uploads/2021/06/tramp-gorelka-turisticheskaya-skladnaya-trg-044-600x600.jpg
Палки для треккинга Trekking Trr-003,3000 сом,https://alex.kg/wp-content/uploads/2022/04/palki-trr-003_1024-600x600.jpg
Брюки AMELIA,6200 сом,https://alex.kg/wp-content/uploads/2016/04/amelia_black_1024-600x1582.jpg
Фонарь налобный CHT 7 Headlamp,3150 сом,https://alex.kg/wp-content/uploads/2016/07/cht7_1_1024-600x370.jpg
Газовая паяльная лампа Campingaz VT 1,3150 сом,https://alex.kg/wp-content/uploads/2020/09/Campingaz-VT-1-1433998385_1024-600x600.jpg
Брюки CROWLEY TP 100,3400 сом,https://alex.kg/wp-content/uploads/2016/04/crowley_1024-600x1654.jpg
Фонарь налобный CHT10 Headlamp,3500 сом,https://alex.kg/wp-content/uploads/2016/07/cht10_1_1024-600x273.jpg
Куртка-дождевик QIKPAC,4300 сом,https://alex.kg/wp-content/uploads/2016/04/qikpac_sasparilla_angle_1024-600x835.jpg
Куртка-дождевик QIKPAC,4300 сом,https://alex.kg/wp-content/uploads/2016/04/qikpac_black_angle_1024-600x807.jpg
Фонарь налобный CHT15 Headlamp,3700 сом,https://alex.kg/wp-content/uploads/2016/07/cht10_1_1024-600x273.jpg
Ковер самонадувающийся Tramp TRI-006,3850 сом,https://alex.kg/wp-content/uploads/2022/02/tri-006-1_1024-600x600.jpg
Брюки CLIFTON TP 75,4000 сом,https://alex.kg/wp-content/uploads/2016/04/clifton_khaki_1024-600x1515.jpg
Горелка Campingaz Bivouac Instastart,4150 сом,https://alex.kg/wp-content/uploads/2020/09/post-40653-1433998990_1024-600x758.jpg
Трековые палочки Eagle,4200 сом,https://alex.kg/wp-content/uploads/2022/06/leki-eagle-640-2011-800x800-1-600x600.jpg
Горелка Tramp со шлангом  TRG-046,4700 сом,https://alex.kg/wp-content/uploads/2021/06/trg-046_1024-600x600.jpg
Горелка Tramp со шлангом  TRG-047,4800 сом,https://alex.kg/wp-content/uploads/2022/06/tramp-gorelka-turisticheskaya-skladnaya-so-shlangom-trg-047_1024-600x600.jpg
Горные ботинки FLASH PLUS II GTX,8500 сом,https://alex.kg/wp-content/uploads/2016/04/FLASH-PLUS-II-GTX_85570200004_1024-600x425.jpg
Куртка TOMMS-M,5400 сом,https://alex.kg/wp-content/uploads/2021/12/Tomms-M-blu-600x765.jpg
Горелки Tramp титановая TRG-048,5500 сом,https://alex.kg/wp-content/uploads/2022/06/tramp-gorelka-turisticheskaya-skladnaya-trg-048_1024-600x600.jpg
Дождевик MISHA TP 75,5550 сом,https://alex.kg/wp-content/uploads/2016/04/misha_mallard_angle_1024-600x741.jpg
Куртка NOLAN TP 75,5550 сом,https://alex.kg/wp-content/uploads/2016/04/nolan_granite_angle_1024-600x738.jpg
Куртка Tafelberg TP 75,5550 сом,https://alex.kg/wp-content/uploads/2016/04/tafelberg_fern_1024-600x837.jpg
Горелка Tramp  TRG-045,,https://alex.kg/wp-content/uploads/2021/06/TRG-045_1024-600x600.jpg
Баллон штоковый (цанговый)TRG-001,180 сом,https://alex.kg/wp-content/uploads/2022/06/tramp-trg-001_1024-600x600.jpg
Шнурки LACES,200 сом,https://alex.kg/wp-content/uploads/2016/04/laces_ass_1024-600x1335.jpg
Trump колпачок для скандинавской ходьбы TRA-064,300 сом,https://alex.kg/wp-content/uploads/2022/04/nasadka-kolpachok-dlya-palok-tramp-skandinavskaya-khodba-600x600.jpg
Газовый баллон 230г резьба Tramp TRG-003,420 сом,https://alex.kg/wp-content/uploads/2022/06/ballon-rezba-trg-003_1024-600x600.jpg
Носки Cool,500 сом,https://alex.kg/wp-content/uploads/2016/04/cool_heather_socks_1024-600x1073.jpg
Носки Inclined,500 сом,https://alex.kg/wp-content/uploads/2016/04/inclined_kiwi_socks_1024-600x891.jpg
Носки Tiptop,500 сом,https://alex.kg/wp-content/uploads/2016/04/tiptop_black_socks_1024-600x1265.jpg
Переходник для штоковых баллонов TRG-018,500 сом,
Сиденье туристическое WoodLand – Tramp IRA-002,500 сом,https://alex.kg/wp-content/uploads/2022/02/tramp-sidene-turisticheskoe-metallik-ira-002-1_1024-600x600.jpg
Огниво для извлечения искры Tramp  TRG-030,500 сом,https://alex.kg/wp-content/uploads/2022/04/tramp-ognivo-trg-030_1-600x600.png
Газовый картридж CV300 PLUS,550 сом,https://alex.kg/wp-content/uploads/2016/07/cv300-plus_-600x754.jpg
Газовый картридж C300 Performance,550 сом,https://alex.kg/wp-content/uploads/2016/07/c-300-perform_1_1024-600x714.jpg
Подставка под газовый балон (пластик) TRG-053,720 сом,https://alex.kg/wp-content/uploads/2022/06/pidstavka-pid-ballon-Tramp-TRG-053-01_1024-600x442.jpg
Газовый картридж C300 Xtreme,750 сом,https://alex.kg/wp-content/uploads/2016/07/c-300-xtreme_1_1024-600x789.jpg
Ковер туристический Decor металлик S10,950 сом,https://alex.kg/wp-content/uploads/2022/02/kovrik-turisticheskij-tramp-decor-metallik-IRA-005_1024-600x600.jpg
Носки Springer,980 сом,https://alex.kg/wp-content/uploads/2016/04/springer_heathermarl_socks_1024_0-600x1235.jpg
Носки STROLLER,1100 сом,https://alex.kg/wp-content/uploads/2017/08/stroller_greymarl_socks_1024-600x1436.jpg
Ковер туристический Optima Light S12 – Tramp IRA-011,1200 сом,https://alex.kg/wp-content/uploads/2022/02/kovrik-Optima-IRA-011_1024-600x693.jpg
Складной переходник со шлангом Tramp TRG-011,1450 сом,https://alex.kg/wp-content/uploads/2021/06/TRG-011_1024-600x600.jpg
Перчатки Effort TRGB-002,1550 сом,https://alex.kg/wp-content/uploads/2022/02/perchatki-neopr.jpg
Питьевая система Tramp 1 литр TRA-055,1650 сом,https://alex.kg/wp-content/uploads/2021/06/gidrator-TRA-055_1024-600x600.jpg
Горелки Tramp TRG-041,1900 сом,https://alex.kg/wp-content/uploads/2021/07/gorelka-TRG-041_1024-600x600.jpg
Питьевая система Tramp 3 литр TRA-057,2050 сом,https://alex.kg/wp-content/uploads/2021/06/gidrator-TRA-055_1024-600x600.jpg
Штаны QIKPAC,2600 сом,https://alex.kg/wp-content/uploads/2016/04/Qikpac-pant_flint_1024-600x1042.jpg
Брюки SOLIO TP 75,2300 сом,https://alex.kg/wp-content/uploads/2016/04/solio_graphite_1024_1-600x991.jpg
Горелка газовая “Campingaz Bleuet Micro Plus”,2300 сом,https://alex.kg/wp-content/uploads/2020/09/Campingaz-Bleuet-Micro-Plus_1024-600x557.jpg
Горелки Tramp TRG-042,2300 сом,https://alex.kg/wp-content/uploads/2021/06/TRG-042-1024-600x600.jpg
Палки для скандинавской ходьбы COMPACT,2400 сом,https://alex.kg/wp-content/uploads/2022/02/tramp-compact-trr-004-600x600.jpg
Брюки TARO,2500 сом,https://alex.kg/wp-content/uploads/2016/04/taro_earth_1_1024-600x1646.jpg
Горелка Tramp  TRG-043,2550 сом,https://alex.kg/wp-content/uploads/2021/06/TRG-043_1024-600x600.jpg
Гетры Mallaig,2700 сом,https://alex.kg/wp-content/uploads/2016/04/mallaig_black_1024-600x922.jpg
Гетры Nanuk,2750 сом,https://alex.kg/wp-content/uploads/2017/04/nanuk_black_2_copy_1024-600x600.jpg
Палки для треккинга Scoul TRR-009,2800 сом,https://alex.kg/wp-content/uploads/2022/06/trekkovye-palki-trr-009_1024-600x600.jpg
Горелка Tramp складная TRG-044,2950 сом,https://alex.kg/wp-content/uploads/2021/06/tramp-gorelka-turisticheskaya-skladnaya-trg-044-600x600.jpg
Палки для треккинга Trekking Trr-003,3000 сом,https://alex.kg/wp-content/uploads/2022/04/palki-trr-003_1024-600x600.jpg
Брюки AMELIA,6200 сом,https://alex.kg/wp-content/uploads/2016/04/amelia_black_1024-600x1582.jpg
Фонарь налобный CHT 7 Headlamp,3150 сом,https://alex.kg/wp-content/uploads/2016/07/cht7_1_1024-600x370.jpg
Газовая паяльная лампа Campingaz VT 1,3150 сом,https://alex.kg/wp-content/uploads/2020/09/Campingaz-VT-1-1433998385_1024-600x600.jpg
Брюки CROWLEY TP 100,3400 сом,https://alex.kg/wp-content/uploads/2016/04/crowley_1024-600x1654.jpg
Фонарь налобный CHT10 Headlamp,3500 сом,https://alex.kg/wp-content/uploads/2016/07/cht10_1_1024-600x273.jpg
Куртка-дождевик QIKPAC,4300 сом,https://alex.kg/wp-content/uploads/2016/04/qikpac_sasparilla_angle_1024-600x835.jpg
Куртка-дождевик QIKPAC,4300 сом,https://alex.kg/wp-content/uploads/2016/04/qikpac_black_angle_1024-600x807.jpg
Фонарь налобный CHT15 Headlamp,3700 сом,https://alex.kg/wp-content/uploads/2016/07/cht10_1_1024-600x273.jpg
Ковер самонадувающийся Tramp TRI-006,3850 сом,https://alex.kg/wp-content/uploads/2022/02/tri-006-1_1024-600x600.jpg
Брюки CLIFTON TP 75,4000 сом,https://alex.kg/wp-content/uploads/2016/04/clifton_khaki_1024-600x1515.jpg
Горелка Campingaz Bivouac Instastart,4150 сом,https://alex.kg/wp-content/uploads/2020/09/post-40653-1433998990_1024-600x758.jpg
Трековые палочки Eagle,4200 сом,https://alex.kg/wp-content/uploads/2022/06/leki-eagle-640-2011-800x800-1-600x600.jpg
Горелка Tramp со шлангом  TRG-046,4700 сом,https://alex.kg/wp-content/uploads/2021/06/trg-046_1024-600x600.jpg
Горелка Tramp со шлангом  TRG-047,4800 сом,https://alex.kg/wp-content/uploads/2022/06/tramp-gorelka-turisticheskaya-skladnaya-so-shlangom-trg-047_1024-600x600.jpg
Горные ботинки FLASH PLUS II GTX,8500 сом,https://alex.kg/wp-content/uploads/2016/04/FLASH-PLUS-II-GTX_85570200004_1024-600x425.jpg
Куртка TOMMS-M,5400 сом,https://alex.kg/wp-content/uploads/2021/12/Tomms-M-blu-600x765.jpg
Горелки Tramp титановая TRG-048,5500 сом,https://alex.kg/wp-content/uploads/2022/06/tramp-gorelka-turisticheskaya-skladnaya-trg-048_1024-600x600.jpg
Дождевик MISHA TP 75,5550 сом,https://alex.kg/wp-content/uploads/2016/04/misha_mallard_angle_1024-600x741.jpg
Куртка NOLAN TP 75,5550 сом,https://alex.kg/wp-content/uploads/2016/04/nolan_granite_angle_1024-600x738.jpg
Куртка Tafelberg TP 75,5550 сом,https://alex.kg/wp-content/uploads/2016/04/tafelberg_fern_1024-600x837.jpg
